method,seed_count,captured_mean,captured_std,episode_length_mean,episode_length_std,mean_target_distance_mean,mean_target_distance_std,mean_hunter_separation_mean,mean_hunter_separation_std,simultaneous_adjacency_fraction_mean,simultaneous_adjacency_fraction_std,distinct_side_fraction_mean,distinct_side_fraction_std
Random,5,0.066,0.010099504938362078,96.1988,0.4605770293881394,6.521722966391129,0.026162377612411632,6.667263626893389,0.04299312710138887,0.003750341032908744,0.0002554312205128761,0.003750341032908744,0.0002554312205128761
Heuristic,5,0.36360000000000003,0.016211107303327553,66.4816,1.5012117771986724,2.6032005905249713,0.03137519912882981,2.682552728177982,0.11077194642402158,0.05013164392539006,0.0024760448677229323,0.05013164392539006,0.0024760448677229323
Independent Q-Learning,5,0.9992000000000001,0.001095445115010333,20.2772,0.7762996844002961,3.5363727909991622,0.03163804725301342,4.045282536808799,0.127302825915498,0.06996317219616148,0.003289450138630623,0.06996317219616148,0.003289450138630623
Cooperative Q-Learning,5,1.0,0.0,16.8412,0.4469689027214309,4.068656511146763,0.04084027091244594,4.44856050366568,0.11802484888427062,0.07800353104100971,0.0027165793976081922,0.07800353104100971,0.0027165793976081922
