method,capture_rate_mean,capture_rate_std,capture_rate_valid_seeds,episode_length_mean,episode_length_std,episode_length_valid_seeds,capture_time_mean,capture_time_std,capture_time_valid_seeds,episode_reward_mean,episode_reward_std,episode_reward_valid_seeds,seed_count
Random,0.066,0.010099504938362078,5,96.1988,0.4605770293881394,5,42.12975346222405,2.781954898687577,5,-2.5575400000000026,0.5225557080350385,5,5
Heuristic,0.36360000000000003,0.016211107303327553,5,66.4816,1.5012117771986724,5,7.815873986263137,0.11034914570282339,5,14.074319999999986,0.45569613998804165,5,5
Independent Q-Learning,0.9992000000000001,0.001095445115010333,5,20.2772,0.7762996844002961,5,20.21309418837675,0.8072668907593905,5,30.319339999999993,0.06569690251450204,5,5
Cooperative Q-Learning,1.0,0.0,5,16.8412,0.4469689027214309,5,16.8412,0.4469689027214309,5,30.507939999999998,0.0755344490944369,5,5
